specie;sex;birth_time;death_time;age;max_stamina;max_energie;max_health;max_speed;view_dist;scout_pattern;generation;fearful;patient;eater;reproductive;sociable
Vulpes vulpes;Male;78230;114090;35860;140.35262164081905;550400.0;275.2;1.1504;247.68000000000004;[-0.17593365881411832, 0.04453108938817951, 0.1124895066752225, 0.46006703376884434, 0.3358850631359718, 0.40350565930579313, 0.2727178405172141];4;0.3332635645263887;0.5623332480322331;0.8239899234624334;0.991622785381775;0.32233595681428245
Vulpes vulpes;Male;78230;109980;31750;-15.647378359180948;550400.0;275.2;1.1504;247.68000000000004;[-0.06197099879617727, 0.21826250017904428, 0.30676724741972816, 0.6855850701793959, 0.5680605930077144];4;0.3328120549814312;0.5862659165582529;0.871340890307085;0.7362878801734734;0.4565574412326715
Vulpes vulpes;Male;78230;79140;910;-171.64737835918095;550400.0;275.2;1.1504;247.68000000000004;[-0.06524697185500583, 0.13179087450216842, 0.4542731337762259, 0.551588004008921, 0.4139375575760861];4;0.3366071181181465;0.5473651675699378;0.8185781479372813;0.8447759434878687;0.16695576044712754
Meles meles;Femelle;78240;105180;26940;-71.06469304482052;576000.0;384.0;0.5760000000000001;172.8;[-0.14037618768188398, 0.19091852499474918];3;0.262941699269984;0.46092788516758487;0.7570719659692203;0.916544459653676;0.3438388035746722
Meles meles;Femelle;78440;115900;37460;22.187155745500913;576000.0;384.0;0.5760000000000001;172.8;[-0.13990873651982644, 0.2182763627752422];3;0.32061913273459763;0.5957713010390093;0.9383330476846745;0.7720035020763847;0.23426086415829234
Meles meles;Male;78440;80390;1950;-56.7530561262501;547200.0;364.8;0.5712;164.16;[-0.36237773625875747, -0.4393784885117369, -0.48678304487552704];4;0.3445683484275562;0.4929862675760723;0.8848546136532041;0.7911137473263394;0.21673664518951344
Meles meles;Femelle;79280;116680;37400;-61.95723853106665;576000.0;384.0;0.5760000000000001;172.8;[-0.2823323309576454, 0.17039809891175806];3;0.3436032982765146;0.5855611969210757;0.7539921557098986;0.8687797997126194;0.4038901199071524
Meles meles;Femelle;79300;116790;37490;18.52091263110092;576000.0;384.0;0.5760000000000001;172.8;[-0.21407932014515382];3;0.2820499878687803;0.2977082206526134;0.896205632694095;0.7327597736605018;0.29083842053101194
Vulpes vulpes;Male;79370;117050;37680;147.03065452775746;550400.0;275.2;1.0304;247.68000000000004;[-0.30791412251069167, 0.1336479128276225, 0.1280081759148671];4;0.2923609302466893;0.4706151189477604;0.8726643291590948;0.8050996504021467;0.29317443978597457
Vulpes vulpes;Femelle;79370;128250;48880;31.030654527757452;550400.0;275.2;1.0304;247.68000000000004;[-0.2626368604227459, 0.03737765138521573, 0.13384222326030834, 0.65629596155398, 0.5973409738561513];4;0.47028453075832866;0.4297131554210893;0.7812020851083901;0.8376030018976921;0.2997983712408156
Vulpes vulpes;Femelle;79370;85010;5640;-84.96934547224255;550400.0;275.2;1.0304;247.68000000000004;[-0.011945262739225117, 0.1451795419754068, 0.31528847878851163, 0.7239348516207986, 0.6020685937778656];4;0.33842683597766055;0.5109081889149724;0.8744970964921681;0.7800879522425761;0.33255214032279856
Vulpes vulpes;Femelle;79370;79920;550;-200.96934547224257;550400.0;275.2;1.0304;247.68000000000004;[-0.27304082416269426, 0.17940758015516176, 0.1148934623501706];4;0.48791112832000966;0.43596035400151834;0.7517687963482004;0.705950897451351;0.33461332870269167
Meles meles;Femelle;79380;107340;27960;-17.80820970422795;576000.0;384.0;0.5760000000000001;172.8;[-0.13689869726248477];3;0.2704483253719207;0.5815685621645418;0.8888072355394496;0.8437509231729267;0.15966909761365544
Vulpes vulpes;Male;79460;123460;44000;123.28301357487005;640000.0;320.0;1.24;288.0;[-0.0743668953393313, 0.14866557468031877, 0.4831433675485855, 0.6392751249683115, 0.6062709741928269];2;0.4575447630000421;0.486065221424629;0.9141674680717177;0.8176496399552231;0.32633874624476117
Vulpes vulpes;Femelle;79460;85650;6190;-32.71810642512997;640000.0;320.0;1.24;288.0;[-0.12115082523378465, 0.1939940213945582, 0.36024617337944254, 0.6948313440121878, 0.6218971526857489];2;0.4447647718892027;0.5003643105563375;0.8494152715282018;0.9378232936586964;0.30247548273432834
Vulpes vulpes;Femelle;79460;80360;900;-188.71999922512998;640000.0;320.0;1.24;288.0;[-0.18498696338885534, 0.21717475835951602, 0.4646307377367707];2;0.48953679755487234;0.5813949264530934;0.8091860593573601;0.8501991462124665;0.44033191389492266
Canis lupus lupus;Femelle;79460;114750;35290;95.21209606910736;2012400.0;1032.0;0.8064;275.2;[-0.228379653309832, 0.10157020599528917, 0.2022938569925286, 0.5677421202568269, 0.5356495381702988, 0.49505261480241103];4;0.3885779275551552;0.4746766334577238;0.7109619496428203;0.9584530749863279;0.3078748382292885
Canis lupus lupus;Femelle;79460;84050;4590;-140.78790393089267;2012400.0;1032.0;0.8064;275.2;[-0.17413059191171548, 0.16728018782137785, 0.3541422106551282];4;0.31752727599317193;0.56623837878741;0.7874875041430298;0.8203905854338259;0.1957583789385553
Vulpes vulpes;Femelle;79930;140550;60620;54.21237539168248;576000.0;288.0;1.0559999999999998;259.2;[-0.12221353414054409, 0.2371748066886055, 0.44172219381796624];3;0.2925029650622701;0.5198948020531586;0.9192083169503057;0.8013513786955218;0.3608056846258669
